timestamp,checkpoint,dataset,mode,K,L,n_prompts,block_eff,throughput_tok_s,avg_tree_nodes,total_gen_tokens,total_time_s
2026-06-09T17:47:53,checkpoints/forward_kl/ckpt_best,gsm8k_eval,gbv,3,8,100,4.525000,8.1567,19.8188,13032,1597.71
2026-06-10T00:53:59,checkpoints/forward_kl/ckpt_best,gsm8k_eval,naive,3,8,100,4.961757,11.4422,19.1651,13104,1145.23
2026-06-10T01:24:55,checkpoints/forward_kl/ckpt_best,gsm8k_eval,nss,3,8,100,3.345897,7.6825,20.0508,13049,1698.55
2026-06-10T02:48:48,checkpoints/forward_kl/ckpt_best,gsm8k_eval,naive,3,8,100,4.961757,10.5227,19.1651,13104,1245.31
2026-06-10T03:22:43,checkpoints/forward_kl/ckpt_best,gsm8k_eval,nss,3,8,100,3.345897,7.1527,20.0508,13049,1824.33
2026-06-10T03:49:44,checkpoints/forward_kl/ckpt_best,gsm8k_eval,specinfer,3,8,100,4.207196,9.0481,20.0668,13097,1447.49
2026-06-10T04:13:04,checkpoints/forward_kl/ckpt_best,gsm8k_eval,spectr,3,8,100,4.749275,10.4426,19.5486,13108,1255.25
2026-06-10T04:40:58,checkpoints/forward_kl/ckpt_best,gsm8k_eval,khisti,3,8,100,4.230521,8.7159,20.2871,13085,1501.27
2026-06-10T05:03:39,checkpoints/forward_kl/ckpt_best,gsm8k_eval,bv,3,8,100,5.092105,10.8555,18.4582,13158,1212.11
2026-06-10T05:30:46,checkpoints/forward_kl/ckpt_best,gsm8k_eval,gbv,3,8,100,4.470708,8.2757,20.0664,13126,1586.09
2026-06-10T05:52:56,checkpoints/forward_kl/ckpt_best,gsm8k_eval,traversal,3,8,100,5.213804,11.0535,19.2416,13144,1189.13
2026-06-10T07:05:53,checkpoints/forward_kl/ckpt_best,gsm8k_eval,naive,1,8,100,4.908852,13.3020,9.0000,13087,983.84
2026-06-10T07:27:50,checkpoints/forward_kl/ckpt_best,gsm8k_eval,nss,1,8,100,3.675197,9.9896,9.0000,13069,1308.26
2026-06-10T07:44:32,checkpoints/forward_kl/ckpt_best,gsm8k_eval,specinfer,1,8,100,4.917448,13.1853,9.0000,13105,993.91
2026-06-10T08:01:00,checkpoints/forward_kl/ckpt_best,gsm8k_eval,spectr,1,8,100,4.790417,13.3611,9.0000,13097,980.24
2026-06-10T08:17:30,checkpoints/forward_kl/ckpt_best,gsm8k_eval,khisti,1,8,100,4.997338,13.3976,9.0000,13143,981.00
2026-06-10T08:33:57,checkpoints/forward_kl/ckpt_best,gsm8k_eval,bv,1,8,100,5.090345,13.4101,9.0000,13128,978.96
2026-06-10T08:50:23,checkpoints/forward_kl/ckpt_best,gsm8k_eval,gbv,1,8,100,5.106043,13.4013,9.0000,13097,977.29
2026-06-10T09:07:09,checkpoints/forward_kl/ckpt_best,gsm8k_eval,traversal,1,8,100,4.933859,13.1640,9.0000,13129,997.34
2026-06-10T10:01:18,checkpoints/forward_kl/ckpt_best,gsm8k_eval,naive,4,8,100,4.903371,13.0746,23.9461,13092,1001.33
2026-06-10T10:27:44,checkpoints/forward_kl/ckpt_best,gsm8k_eval,nss,4,8,100,3.194984,8.2347,25.3300,12994,1577.96
2026-06-10T10:47:57,checkpoints/forward_kl/ckpt_best,gsm8k_eval,specinfer,4,8,100,4.120896,10.8353,25.2699,13055,1204.86
2026-06-10T11:06:45,checkpoints/forward_kl/ckpt_best,gsm8k_eval,spectr,4,8,100,4.502755,11.6812,24.7834,13076,1119.41
2026-06-10T11:29:44,checkpoints/forward_kl/ckpt_best,gsm8k_eval,khisti,4,8,100,3.872668,9.5423,25.9689,13078,1370.53
2026-06-10T11:50:29,checkpoints/forward_kl/ckpt_best,gsm8k_eval,bv,4,8,100,5.033781,10.6020,22.5524,13113,1236.85
2026-06-10T11:57:56,checkpoints/forward_kl/ckpt_best,gsm8k_eval,naive,2,8,100,5.057707,10.0703,14.3381,13059,1296.78
2026-06-10T12:17:31,checkpoints/forward_kl/ckpt_best,gsm8k_eval,gbv,4,8,100,4.469806,8.1234,24.8925,13101,1612.76
2026-06-10T12:30:58,checkpoints/forward_kl/ckpt_best,gsm8k_eval,nss,2,8,100,3.305008,6.6220,14.8483,13068,1973.43
2026-06-10T12:40:07,checkpoints/forward_kl/ckpt_best,gsm8k_eval,traversal,4,8,100,5.258000,9.7574,23.8572,13145,1347.19
2026-06-10T12:52:13,checkpoints/forward_kl/ckpt_best,gsm8k_eval,specinfer,2,8,100,4.437288,10.3315,14.5614,13090,1267.00
2026-06-10T13:09:30,checkpoints/forward_kl/ckpt_best,gsm8k_eval,spectr,2,8,100,4.856984,12.7130,14.4855,13075,1028.48
2026-06-10T13:28:46,checkpoints/forward_kl/ckpt_best,gsm8k_eval,khisti,2,8,100,4.552265,11.3819,14.5826,13065,1147.87
2026-06-10T13:44:50,checkpoints/forward_kl/ckpt_best,gsm8k_eval,bv,2,8,100,5.125000,13.6830,14.1129,13079,955.85
2026-06-10T14:02:26,checkpoints/forward_kl/ckpt_best,gsm8k_eval,gbv,2,8,100,4.857621,12.4803,14.4513,13067,1047.01
2026-06-10T14:18:30,checkpoints/forward_kl/ckpt_best,gsm8k_eval,traversal,2,8,100,5.068939,13.6848,14.4001,13088,956.39
